Nr okr.;TERYT;Powiat;L. obw.;Liczba wyborców;Otrzymane karty;Niewykorzystane karty;Wydane karty;Liczba wyborców głosujących przez pełnomocnika;Liczba wyborców głosujących na podstawie zaświadczenia;Pakiety wyborcze;Koperty zwrotne;Koperty  bez oświadczenia;Niepodpisane oświadczenie;Koperty zwrotne bez koperty na kartę do głosowania;Niezaklejona koperta na kartę do głosowania;Koperty na kartę do głosowania wrzucone do urny;Karty wyjęte z urny;Karty wyjęte z kopert na karty do głosowania;Karty nieważne;Karty ważne;Głosy nieważne;w tym: z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list;w tym: z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata;w tym: z powodu postawienia znaku „x” wyłącznie obok nazwiska kandydata z listy, której rejestracja została unieważniona;Głosy ważne;1 - Komitet Wyborczy Prawo i Sprawiedliwość;2 - Komitet Wyborczy Platforma Obywatelska RP;3 - Komitet Wyborczy Partia Razem;4 - Komitet Wyborczy KORWiN;5 - Komitet Wyborczy Polskie Stronnictwo Ludowe;6 - Koalicyjny Komitet Wyborczy Zjednoczona Lewica SLD+TR+PPS+UP+Zieloni;7 - Komitet Wyborczy Wyborców „Kukiz'15”;8 - Komitet Wyborczy Nowoczesna Ryszarda Petru;9 - Komitet Wyborczy Wyborców JOW Bezpartyjni;10 - Komitet Wyborczy Wyborców Zbigniewa Stonogi;11 - Komitet Wyborczy Wyborców  Ruch Społeczny Rzeczypospolitej Polskiej;12 - Komitet Wyborczy Wyborców Zjednoczeni dla Śląska;13 - Komitet Wyborczy Samoobrona;14 - Komitet Wyborczy Wyborców Grzegorza Brauna „Szczęść Boże!”;15 - Komitet Wyborczy Kongres Nowej Prawicy;16 - Komitet Wyborczy Wyborców Mniejszość Niemiecka;16 - Komitet Wyborczy Wyborców Obywatele do Parlamentu;;;;;
4;0410;nakielski;82;67.988;51.981;22.275;29.705;18;141;9;9;-;-;-;-;9;29.714;9;-;29.714;1.327;1.010;296;-;28.387;8.336;7.439;1.021;1.366;2.683;3.718;2.116;1.505;;203;;;;;;;;;;;;
5;0411;radziejowski;51;34.224;26.109;13.012;13.097;17;56;5;5;-;-;-;-;5;13.099;5;-;13.099;588;403;172;-;12.511;5.301;2.093;417;368;1.200;1.496;1.088;462;;59;;;27;;;;;;;;;
5;0412;rypiński;45;35.342;26.959;13.550;13.409;23;63;1;1;-;-;-;-;1;13.407;1;-;13.407;495;389;94;-;12.912;5.285;2.643;368;402;1.556;1.017;1.029;548;;49;;;15;;;;;;;;;
4;0413;sępoleński;42;32.392;24.539;11.478;13.061;10;83;4;4;-;-;-;-;4;13.065;4;1;13.064;488;373;106;-;12.576;3.979;3.641;441;377;1.352;1.101;964;611;;110;;;;;;;;;;;;
4;0414;świecki;94;77.695;58.945;26.742;32.202;33;210;19;18;1;-;1;-;17;32.218;17;3;32.215;1.259;947;264;-;30.956;9.365;8.420;1.171;1.572;3.420;2.382;2.702;1.690;;234;;;;;;;;;;;;
5;0415;toruński;67;78.190;59.598;24.187;35.411;21;184;16;14;-;-;-;-;14;35.418;14;1;35.417;1.127;784;298;-;34.290;11.591;9.167;1.311;1.458;1.947;2.900;2.941;2.668;;243;;;64;;;;;;;;;
4;0416;tucholski;51;37.948;28.442;11.883;16.556;16;109;-;-;-;-;-;-;-;16.555;-;-;16.555;641;450;168;-;15.914;5.522;3.738;528;632;1.986;1.059;1.355;971;;123;;;;;;;;;;;;
5;0417;wąbrzeski;29;27.437;21.008;10.477;10.531;8;29;1;1;-;-;-;-;1;10.530;1;-;10.530;408;303;102;-;10.122;3.040;2.493;400;462;866;1.086;1.117;565;;56;;;37;;;;;;;;;
5;0418;włocławski;82;70.138;53.415;27.062;26.353;28;125;3;2;-;-;-;-;2;26.353;2;-;26.353;1.177;866;262;-;25.176;10.199;4.306;876;751;2.452;3.348;2.037;987;;114;;;106;;;;;;;;;
4;0419;żniński;78;56.091;42.276;18.628;23.648;17;115;14;13;-;-;-;-;13;23.659;13;-;23.659;970;726;196;-;22.689;7.057;5.808;783;903;2.126;2.430;1.744;1.698;;140;;;;;;;;;;;;
4;0461;Bydgoszcz;205;276.759;211.576;57.946;153.627;56;1.286;152;149;5;1;2;-;141;153.739;141;2;153.737;2.232;1.437;719;-;151.505;45.271;49.990;5.890;7.349;2.766;15.453;10.692;13.142;;952;;;;;;;;;;;;
5;0462;Grudziądz;54;73.733;57.429;23.012;34.417;22;136;20;20;-;-;1;-;19;34.429;19;-;34.429;770;524;234;-;33.659;9.805;11.532;1.306;1.605;745;3.954;2.520;2.007;;138;;;47;;;;;;;;;
5;0463;Toruń;124;155.767;121.786;34.718;87.066;45;1.038;32;31;3;-;-;-;28;87.083;28;2;87.081;1.320;836;431;-;85.761;26.177;26.978;3.411;4.145;1.078;9.173;5.512;8.628;;613;;;46;;;;;;;;;
5;0464;Włocławek;68;90.717;70.375;27.579;42.794;17;196;18;16;-;-;-;-;16;42.804;16;6;42.798;1.006;701;269;-;41.792;12.645;11.796;1.854;1.401;790;6.519;3.563;2.960;;218;;;46;;;;;;;;;
7;0601;bialski;115;90.444;69.444;27.227;42.216;37;343;7;7;-;-;-;-;7;42.215;7;1;42.214;1.403;1.062;312;-;40.811;19.593;4.686;874;1.734;4.763;4.445;3.572;1.078;;;;;66;;;;;;;;;
7;0602;biłgorajski;98;83.310;64.156;24.171;39.985;45;230;9;7;-;-;-;-;7;39.986;7;3;39.983;966;722;214;-;39.017;21.309;2.951;716;1.854;5.782;1.641;3.697;1.021;;;;;46;;;;;;;;;
7;0603;chełmski;91;64.542;49.357;24.893;24.464;41;141;7;7;-;-;-;-;7;24.470;7;-;24.470;908;652;246;-;23.562;10.881;2.771;719;929;3.145;1.152;3.083;814;;;;;68;;;;;;;;;
7;0604;hrubieszowski;69;55.327;42.742;20.951;21.791;22;165;6;6;2;-;-;-;4;21.793;4;5;21.788;760;557;170;-;21.028;10.096;3.015;466;772;3.226;930;1.952;503;;;;;68;;;;;;;;;
6;0605;janowski;38;38.370;29.510;9.290;20.221;39;84;4;4;-;-;-;-;4;20.221;4;-;20.221;426;303;112;-;19.795;13.515;1.125;255;669;1.668;700;1.390;260;;;14;;151;48;;;;;;;;
7;0606;krasnostawski;93;55.178;42.598;18.825;23.773;14;160;9;9;-;-;-;-;9;23.779;9;2;23.777;690;471;190;-;23.087;10.574;2.393;500;1.507;3.327;1.284;2.107;1.317;;;;;78;;;;;;;;;
6;0607;kraśnicki;86;79.177;60.859;22.930;37.930;39;138;4;3;-;-;-;-;3;37.923;3;-;37.923;1.210;857;315;-;36.713;19.273;5.302;836;1.386;3.852;1.682;3.453;771;;;26;;62;70;;;;;;;;
6;0608;lubartowski;91;71.582;54.970;20.480;34.490;39;166;8;7;-;-;-;-;7;34.485;7;1;34.484;1.021;722;278;-;33.463;16.533;4.333;861;1.718;3.854;1.596;3.272;1.090;;;59;;34;113;;;;;;;;
6;0609;lubelski;129;119.143;91.022;29.975;61.047;39;295;19;19;-;-;-;-;19;61.059;19;-;61.059;1.535;1.118;402;-;59.524;28.737;6.737;1.513;3.177;8.423;2.422;5.633;2.576;;;76;;64;166;;;;;;;;
6;0610;łęczyński;53;45.284;34.635;13.186;21.449;3;122;4;4;-;-;-;-;4;21.449;4;1;21.448;667;494;165;-;20.781;10.137;2.549;634;1.267;1.705;952;2.736;666;;;36;;31;68;;;;;;;;
6;0611;łukowski;98;85.357;65.208;24.123;41.085;27;223;18;18;-;-;-;-;18;41.094;18;-;41.094;1.341;1.019;290;-;39.753;22.656;4.574;773;1.727;3.924;1.565;3.051;1.280;;;71;;41;91;;;;;;;;
6;0612;opolski;62;50.314;38.775;17.492;21.283;10;121;4;2;-;-;-;-;2;21.284;2;1;21.283;780;529;157;-;20.503;10.127;2.465;581;748;2.220;1.442;2.258;534;;;22;;17;89;;;;;;;;
7;0613;parczewski;38;29.496;22.666;9.569;13.097;12;99;1;1;-;-;-;-;1;13.098;1;-;13.098;393;292;96;-;12.705;6.154;1.427;310;533;1.548;863;1.299;555;;;;;16;;;;;;;;;
6;0614;puławski;97;94.962;73.365;23.360;50.184;62;654;26;26;1;-;-;-;25;50.206;25;6;50.200;1.156;791;340;-;49.044;22.546;9.054;1.511;2.327;3.285;2.677;5.122;2.247;;;64;;78;133;;;;;;;;
7;0615;radzyński;55;48.842;37.547;14.438;23.109;21;111;4;3;-;-;-;-;3;23.109;3;-;23.109;671;492;177;-;22.438;11.527;1.798;463;882;4.075;1.044;1.862;746;;;;;41;;;;;;;;;
6;0616;rycki;74;46.660;35.771;12.744;23.027;26;147;9;8;-;-;-;-;8;23.034;8;-;23.034;707;486;181;-;22.327;10.388;2.780;601;824;3.131;1.230;2.574;698;;;33;;22;46;;;;;;;;
6;0617;świdnicki;53;58.358;44.760;14.956;29.804;32;141;8;7;1;-;-;-;6;29.806;6;-;29.806;587;435;145;-;29.219;14.146;4.726;943;1.357;1.872;1.729;3.032;1.316;;;33;;15;50;;;;;;;;
7;0618;tomaszowski;98;70.859;54.717;23.958;30.758;36;171;5;5;-;-;-;-;5;30.762;5;-;30.762;1.022;761;244;-;29.740;14.476;3.613;621;1.001;3.466;1.298;4.398;815;;;;;52;;;;;;;;;
7;0619;włodawski;49;32.949;25.458;11.313;14.145;4;101;3;3;-;-;-;-;3;14.148;3;1;14.147;468;333;117;-;13.679;6.166;2.008;459;564;1.716;1.102;1.152;487;;;;;25;;;;;;;;;
7;0620;zamojski;118;89.370;68.553;28.900;39.652;60;263;6;5;1;-;-;-;4;39.651;4;1;39.650;1.258;909;331;-;38.392;21.378;3.238;908;1.458;4.082;1.630;4.308;1.301;;;;;89;;;;;;;;;
7;0661;Biała Podlaska;29;45.660;35.453;11.231;24.222;17;184;28;27;2;-;-;-;25;24.237;25;-;24.237;406;277;120;-;23.831;9.535;4.177;479;1.247;1.123;4.165;2.099;989;;;;;17;;;;;;;;;
7;0662;Chełm;36;53.083;41.263;15.092;26.171;24;198;12;12;-;-;-;-;12;26.177;12;9;26.168;475;303;164;-;25.693;10.267;5.118;890;1.200;1.313;2.433;3.088;1.351;;;;;33;;;;;;;;;
6;0663;Lublin;208;269.970;208.293;50.079;158.213;72;2.140;133;133;5;-;-;-;128;158.297;128;-;158.297;1.699;1.106;523;-;156.598;63.956;37.247;4.887;9.176;3.799;13.177;12.927;10.720;;;165;;65;479;;;;;;;;
7;0664;Zamość;34;52.588;41.155;15.052;26.103;19;248;20;18;-;-;-;-;18;26.117;18;-;26.117;414;274;134;-;25.703;11.166;4.628;711;1.154;1.123;2.174;2.950;1.768;;;;;29;;;;;;;;;
8;0801;gorzowski;61;54.579;41.646;18.182;23.464;6;128;12;12;1;-;-;-;11;23.474;11;-;23.474;774;589;183;-;22.700;6.621;6.339;897;1.393;1.265;1.973;2.287;1.796;;129;;;;;;;;;;;;
8;0802;krośnieński;50;44.576;34.145;16.796;17.349;11;120;2;2;-;-;-;-;2;17.348;2;-;17.348;696;520;134;-;16.652;4.428;4.330;557;617;1.645;1.849;1.472;1.612;;142;;;;;;;;;;;;
8;0803;międzyrzecki;59;47.151;36.171;16.158;20.013;14;171;5;5;-;-;-;-;5;20.017;5;-;20.017;808;585;223;-;19.209;5.182;5.399;848;694;1.339;2.538;1.740;1.325;;144;;;;;;;;;;;;
8;0804;nowosolski;54;68.590;52.374;22.387;29.986;18;179;24;24;-;-;-;-;24;30.002;24;1;30.001;1.036;800;230;-;28.965;8.913;7.175;1.017;1.235;1.616;2.394;2.404;3.918;;293;;;;;;;;;;;;
8;0805;słubicki;35;36.949;28.100;13.392;14.708;8;161;6;6;-;-;-;-;6;14.712;6;-;14.712;566;450;111;-;14.146;3.778;4.651;534;674;685;1.484;1.347;921;;72;;;;;;;;;;;;
8;0806;strzelecko-drezdenecki;38;39.911;30.344;14.856;15.488;7;120;9;9;-;-;-;-;9;15.496;9;-;15.496;648;496;151;-;14.848;4.281;4.737;563;619;1.109;1.247;1.290;909;;93;;;;;;;;;;;;
8;0807;sulęciński;36;28.521;21.963;10.707;11.256;15;88;1;1;-;-;-;-;1;11.256;1;-;11.256;482;345;126;-;10.774;3.428;2.764;437;510;739;1.252;933;639;;72;;;;;;;;;;;;
8;0808;świebodziński;37;44.237;33.820;14.407;19.412;5;176;6;6;1;-;-;-;5;19.417;5;1;19.416;679;500;144;-;18.737;5.436;5.437;664;1.125;1.204;1.632;1.603;1.506;;130;;;;;;;;;;;;
8;0809;zielonogórski;52;59.716;45.863;19.656;26.207;14;153;12;9;-;-;1;-;8;26.212;8;-;26.212;1.027;786;224;-;25.185;6.344;7.323;1.095;1.206;1.587;2.493;2.382;2.576;;179;;;;;;;;;;;;
8;0810;żagański;55;64.443;49.122;23.580;25.542;11;223;5;5;-;-;-;-;5;25.542;5;-;25.542;973;671;283;-;24.569;7.631;6.650;916;1.048;1.538;2.542;2.268;1.799;;177;;;;;;;;;;;;
8;0811;żarski;67;77.641;59.614;28.473;31.141;21;162;10;10;-;-;1;-;9;31.146;9;-;31.146;1.047;756;273;-;30.099;8.887;8.326;1.189;1.604;1.329;3.431;2.757;2.369;;207;;;;;;;;;;;;
